"Agr" "Min" "Fab" "Ene" "Con" "IS" "Fin" "SSP" "TC"
"Belgica" 3.3 0.9 27.6 0.9 8.2 19.1 6.2 26.6 7.2
"Dinamarca" 9.2 0.1 21.8 0.6 8.3 14.6 6.5 32.2 7.1
"Francia" 10.8 0.8 27.5 0.9 8.9 16.8 6 22.6 5.7
"Alemania Occidental" 6.7 1.3 35.8 0.9 7.3 14.4 5 22.3 6.1
"Irlanda" 23.2 1 20.7 1.3 7.5 16.8 2.8 20.8 6.1
"Italia" 15.9 0.6 27.6 0.5 10 18.1 1.6 20.1 5.7
"Luxemburgo" 7.7 3.1 30.8 0.8 9.2 18.5 4.6 19.2 6.2
"Holanda" 6.3 0.1 22.5 1 9.9 18 6.8 28.5 6.8
"Inglaterra" 2.7 1.4 30.2 1.4 6.9 16.9 5.7 28.3 6.4
"Austria" 12.7 1.1 30.2 1.4 9 16.8 4.9 16.8 7
"Finlandia" 13 0.4 25.9 1.3 7.4 14.7 5.5 24.3 7.6
"Grecia" 41.4 0.6 17.6 0.6 8.1 11.5 2.4 11 6.7
"Noruega" 9 0.5 22.4 0.8 8.6 16.9 4.7 27.6 9.4
"Portugal" 27.8 0.3 24.5 0.6 8.4 13.3 2.7 16.7 5.7
"Espana" 22.9 0.8 28.5 0.7 11.5 9.7 8.5 11.8 5.5
"Suecia" 6.1 0.4 25.9 0.8 7.2 14.4 6 32.4 6.8
"Suiza" 7.7 0.2 37.8 0.8 9.5 17.5 5.3 15.4 5.7
"Turquia" 66.8 0.7 7.9 0.1 2.8 5.2 1.1 11.9 3.2
"Bulgaria" 23.6 1.9 32.3 0.6 7.9 8 0.7 18.2 6.7
"Checoslovaquia" 16.5 2.9 35.5 1.2 8.7 9.2 0.9 17.9 7
"Alemania Oriental" 4.2 2.9 41.2 1.3 7.6 11.2 1.2 22.1 8.4
"Hungria" 21.7 3.1 29.6 1.9 8.2 9.4 0.9 17.2 8
"Polonia" 31.1 2.5 25.7 0.9 8.4 7.5 0.9 16.1 6.9
"Rumania" 34.7 2.1 30.1 0.6 8.7 5.9 1.3 11.7 5
"Union Sovietica" 23.7 1.4 25.8 0.6 9.2 6.1 0.5 23.6 9.3
"Yugoslavia" 48.7 1.5 16.8 1.1 4.9 6.4 11.3 5.3 4
